127.0.0.1 - - [03/Mar/2018:10:29:07 -0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:08 -0800] "GET /project3/WEB-INF/classes/EOfilm/dbFunctions.java HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:08 -0800] "GET /project3/WEB-INF/classes/EOfilm/dbFunctions.java HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:21 -0800] "GET /project3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:21 -0800] "GET /project3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:21 -0800] "GET /project3/login HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:22 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 3355
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:22 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:22 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2018:10:29:22 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:30:05 -0800] "GET /project3/login HTTP/1.1" 200 2826
169.234.97.101 - - [03/Mar/2018:10:30:05 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 3355
169.234.97.101 - - [03/Mar/2018:10:30:05 -0800] "GET /project3/css/style.css HTTP/1.1" 200 802
169.234.97.101 - - [03/Mar/2018:10:30:05 -0800] "GET /project3/resources/logo.png HTTP/1.1" 200 15278
169.234.97.101 - - [03/Mar/2018:10:30:05 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 200 418820
169.234.97.101 - - [03/Mar/2018:10:30:57 -0800] "GET /project3 HTTP/1.1" 302 -
169.234.97.101 - - [03/Mar/2018:10:30:57 -0800] "GET /project3/ HTTP/1.1" 302 -
169.234.97.101 - - [03/Mar/2018:10:30:57 -0800] "GET /project3/login HTTP/1.1" 200 2826
169.234.97.101 - - [03/Mar/2018:10:30:57 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 3355
169.234.97.101 - - [03/Mar/2018:10:30:57 -0800] "GET /project3/css/style.css HTTP/1.1" 200 802
169.234.97.101 - - [03/Mar/2018:10:30:57 -0800] "GET /project3/resources/logo.png HTTP/1.1" 200 15278
169.234.97.101 - - [03/Mar/2018:10:30:57 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 200 418820
169.234.97.101 - - [03/Mar/2018:10:30:58 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
169.234.97.101 - - [03/Mar/2018:10:31:57 -0800] "GET /project3/Autocompletion?search=a HTTP/1.1" 200 178
169.234.97.101 - - [03/Mar/2018:10:32:02 -0800] "GET /project3/Autocompletion?search= HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:32:02 -0800] "GET /project3/Autocompletion?search=g HTTP/1.1" 200 175
169.234.97.101 - - [03/Mar/2018:10:32:02 -0800] "GET /project3/Autocompletion?search=go HTTP/1.1" 200 199
169.234.97.101 - - [03/Mar/2018:10:32:02 -0800] "GET /project3/Autocompletion?search=goo HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:32:03 -0800] "GET /project3/Autocompletion?search=good HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:32:05 -0800] "GET /project3/Autocompletion?search=good%20 HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:32:05 -0800] "GET /project3/Autocompletion?search=good%20y HTTP/1.1" 200 60
169.234.97.101 - - [03/Mar/2018:10:32:07 -0800] "GET /project3/run_search?title=good+y&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [03/Mar/2018:10:32:07 -0800] "GET /project3/movie_list HTTP/1.1" 302 -
169.234.97.101 - - [03/Mar/2018:10:32:07 -0800] "GET /project3/login HTTP/1.1" 200 2874
169.234.97.101 - - [03/Mar/2018:10:32:07 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:32:07 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:32:07 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:32:07 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:32:24 -0800] "POST /project3/loginhandle HTTP/1.1" 302 -
169.234.97.101 - - [03/Mar/2018:10:32:24 -0800] "GET /project3/mainpage HTTP/1.1" 200 2214
169.234.97.101 - - [03/Mar/2018:10:32:24 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:32:24 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:32:24 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:32:24 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:32:52 -0800] "GET /project3/Autocompletion?search=g HTTP/1.1" 200 175
169.234.97.101 - - [03/Mar/2018:10:32:52 -0800] "GET /project3/Autocompletion?search=go HTTP/1.1" 200 199
169.234.97.101 - - [03/Mar/2018:10:32:52 -0800] "GET /project3/Autocompletion?search=goo HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:32:52 -0800] "GET /project3/Autocompletion?search=good HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:32:55 -0800] "GET /project3/Autocompletion?search=good%20 HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:32:55 -0800] "GET /project3/Autocompletion?search=good%20d HTTP/1.1" 200 91
169.234.97.101 - - [03/Mar/2018:10:32:59 -0800] "GET /project3/Autocompletion?search=good%20d%20 HTTP/1.1" 200 91
169.234.97.101 - - [03/Mar/2018:10:32:59 -0800] "GET /project3/Autocompletion?search=good%20d%20o HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:08 -0800] "GET /project3/Autocompletion?search=good%20d%20oi HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:08 -0800] "GET /project3/Autocompletion?search=good%20d%20oil HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:09 -0800] "GET /project3/Autocompletion?search=good%20d%20oi HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:09 -0800] "GET /project3/Autocompletion?search=good%20d%20oid HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:10 -0800] "GET /project3/Autocompletion?search=good%20d%20oi HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:10 -0800] "GET /project3/Autocompletion?search=good%20d%20o HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:10 -0800] "GET /project3/Autocompletion?search=good%20d%20ol HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:11 -0800] "GET /project3/Autocompletion?search=good%20d%20old HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:12 -0800] "GET /project3/Autocompletion?search=good%20d%20ol HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:12 -0800] "GET /project3/Autocompletion?search=good%20d%20o HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:13 -0800] "GET /project3/Autocompletion?search=good%20d%20 HTTP/1.1" 200 91
169.234.97.101 - - [03/Mar/2018:10:33:15 -0800] "GET /project3/Autocompletion?search=good%20d HTTP/1.1" 200 91
169.234.97.101 - - [03/Mar/2018:10:33:16 -0800] "GET /project3/Autocompletion?search=good%20 HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:33:17 -0800] "GET /project3/Autocompletion?search=good%20da HTTP/1.1" 200 73
169.234.97.101 - - [03/Mar/2018:10:33:17 -0800] "GET /project3/Autocompletion?search=good%20day HTTP/1.1" 200 58
169.234.97.101 - - [03/Mar/2018:10:33:17 -0800] "GET /project3/Autocompletion?search=good%20day HTTP/1.1" 200 58
169.234.97.101 - - [03/Mar/2018:10:33:20 -0800] "GET /project3/Autocompletion?search=good%20da HTTP/1.1" 200 73
169.234.97.101 - - [03/Mar/2018:10:33:20 -0800] "GET /project3/Autocompletion?search=good%20d HTTP/1.1" 200 91
169.234.97.101 - - [03/Mar/2018:10:33:21 -0800] "GET /project3/Autocompletion?search=good%20 HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:33:21 -0800] "GET /project3/Autocompletion?search=good HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:33:21 -0800] "GET /project3/Autocompletion?search=goodda HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:22 -0800] "GET /project3/Autocompletion?search=goodda HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:22 -0800] "GET /project3/Autocompletion?search=goodday HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:23 -0800] "GET /project3/Autocompletion?search=goodda HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:23 -0800] "GET /project3/Autocompletion?search=goodd HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:33:23 -0800] "GET /project3/Autocompletion?search=good HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:33:24 -0800] "GET /project3/Autocompletion?search=good%20 HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:33:24 -0800] "GET /project3/Autocompletion?search=good%20da HTTP/1.1" 200 73
169.234.97.101 - - [03/Mar/2018:10:33:24 -0800] "GET /project3/Autocompletion?search=good%20da HTTP/1.1" 200 73
169.234.97.101 - - [03/Mar/2018:10:33:24 -0800] "GET /project3/Autocompletion?search=good%20day HTTP/1.1" 200 58
169.234.97.101 - - [03/Mar/2018:10:33:26 -0800] "GET /project3/Autocompletion?search=good%20day%20 HTTP/1.1" 200 58
169.234.97.101 - - [03/Mar/2018:10:33:26 -0800] "GET /project3/Autocompletion?search=good%20day%20o HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:27 -0800] "GET /project3/Autocompletion?search=good%20day%20ol HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:27 -0800] "GET /project3/Autocompletion?search=good%20day%20old HTTP/1.1" 200 27
169.234.97.101 - - [03/Mar/2018:10:33:29 -0800] "GET /project3/Autocompletion?search= HTTP/1.1" 200 -
169.234.97.101 - - [03/Mar/2018:10:34:02 -0800] "GET /project3/Autocompletion?search=g HTTP/1.1" 200 175
169.234.97.101 - - [03/Mar/2018:10:34:02 -0800] "GET /project3/Autocompletion?search=go HTTP/1.1" 200 199
169.234.97.101 - - [03/Mar/2018:10:34:02 -0800] "GET /project3/Autocompletion?search=goo HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:34:02 -0800] "GET /project3/Autocompletion?search=good HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:34:03 -0800] "GET /project3/Autocompletion?search=good%20 HTTP/1.1" 200 154
169.234.97.101 - - [03/Mar/2018:10:34:05 -0800] "GET /project3/Autocompletion?search=good%20da HTTP/1.1" 200 73
169.234.97.101 - - [03/Mar/2018:10:34:05 -0800] "GET /project3/Autocompletion?search=good%20da HTTP/1.1" 200 73
169.234.97.101 - - [03/Mar/2018:10:34:05 -0800] "GET /project3/Autocompletion?search=good%20day HTTP/1.1" 200 58
169.234.97.101 - - [03/Mar/2018:10:34:07 -0800] "GET /project3/run_search?title=good+day&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [03/Mar/2018:10:34:07 -0800] "GET /project3/movie_list HTTP/1.1" 200 3375
169.234.97.101 - - [03/Mar/2018:10:34:07 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:34:07 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:34:07 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:34:07 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [03/Mar/2018:10:34:14 -0800] "GET /project3/Autocompletion?search=g HTTP/1.1" 200 175
169.234.97.101 - - [03/Mar/2018:10:34:14 -0800] "GET /project3/Autocompletion?search=go HTTP/1.1" 200 199
169.234.97.101 - - [03/Mar/2018:10:34:15 -0800] "GET /project3/Autocompletion?search=god HTTP/1.1" 200 213
169.234.97.101 - - [03/Mar/2018:10:34:15 -0800] "GET /project3/Autocompletion?search=go HTTP/1.1" 200 199
169.234.97.101 - - [03/Mar/2018:10:34:16 -0800] "GET /project3/Autocompletion?search=goo HTTP/1.1" 200 154
