169.234.97.101 - - [04/Mar/2018:12:55:19 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:19 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:19 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:23 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:12:55:24 -0800] "GET /project3/run_search?hero=good&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:55:24 -0800] "GET /project3/movie_list HTTP/1.1" 200 2332
169.234.97.101 - - [04/Mar/2018:12:55:24 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:24 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:24 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:24 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:26 -0800] "GET /project3/search HTTP/1.1" 200 2041
169.234.97.101 - - [04/Mar/2018:12:55:26 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:26 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:26 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:26 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:32 -0800] "GET /project3/run_search?title=s&year=&director=&starName=&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:55:32 -0800] "GET /project3/movie_list HTTP/1.1" 200 11397
169.234.97.101 - - [04/Mar/2018:12:55:32 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:32 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:32 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:32 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:39 -0800] "GET /project3/run_search?title=good+day&year=&director=&starName=&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:55:39 -0800] "GET /project3/movie_list HTTP/1.1" 200 4423
169.234.97.101 - - [04/Mar/2018:12:55:39 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:39 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:39 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:39 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:43 -0800] "GET /project3/search HTTP/1.1" 200 2041
169.234.97.101 - - [04/Mar/2018:12:55:43 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:43 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:43 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:43 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:45 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:12:55:48 -0800] "GET /project3/run_search?hero=A+Good+Year&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:55:48 -0800] "GET /project3/movie_list HTTP/1.1" 200 2332
169.234.97.101 - - [04/Mar/2018:12:55:48 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:48 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:48 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:48 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:49 -0800] "GET /project3/search HTTP/1.1" 200 2041
169.234.97.101 - - [04/Mar/2018:12:55:50 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:50 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:50 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:50 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:55 -0800] "GET /project3/run_search?title=a+good+year&year=&director=&starName=&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:55:55 -0800] "GET /project3/movie_list HTTP/1.1" 200 2332
169.234.97.101 - - [04/Mar/2018:12:55:55 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:55 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
